,Comment,Username
10,"
Not noticeable. We could just about hear the operatic type music/VESS but short lived. Would have to hear it from outside the car I think.
 
","
MarkyM
"
11,"
Just drove the Mini e on Saturday and was very impressed, but I think we really like the look of the 500. Have you driven the Mini e and could you compare ? Price wise they are pretty similar, but the extra range makes a big difference.
 
","
Mickeypeach
"
12,"
Thanks for the review. I will be very interested in this in the future probably. Love a small car and lucky enough for it to work for me for now 
 
","
Charlie S
"
13,"Drove the Mini e, BMW i3S (we own the regular BMW i3 already) and Peugeot e-208 all in 1 afternoon last summer 2020. Wife was choosing her next car. Was driving an Audi S3 (300bhp+) at the time.

Mini e runs the BMW i3s running gear -181bhp motor (instead of 184bhp in the i3S) but to the front wheels. It is a powerful and fun car to drive but we found the ride too harsh and unsettled overall for our British urban pot holed and bumpy roads but excellent if the tarmac was smooth. As there is so much torque going through the front wheels you get torque steer pretty much all the time on acceleration which the cheeky nature of the car urges you to do all the time! And we test drove on a nice sunny day. Would be worse in the rain.- a big no-no for me. I prefer rear wheel drive (eg-i3) as a result. A pain to get in the back as 3 door only, but once there actually ok for headroom but if you are tall driver rear legroom is going to be an issue. Pretty tiny boot and no frunk as this is based on the ICE Mini platform. Without the sunroof, car will feel claustrophobic and cramped but actually plenty of room for front passengers. Well equipped overall. 
As it is a fun car, the powerful running gear counts against it, as the range will be poor if you drive it in a fun/Mini sort of way. Pretty efficient drivetrain as 7+ years of BMW e-platform experience has gone in to it (much better than the similar battery sized Honda e) but you still have to expect 90-110 miles real world range.

500e has a bigger battery but just felt more modern. Same issues with cramped rear. Not as powerful but more than fast enough and no real torque steer as not as much torque I guess going through the front wheels. 500e rides better also- but close overall.

After driving all 3 last year, wife chose the Peugeot e-208. Liked the looks of it above all else (subjective) but thought the cabin was Audi like in quality and build. Another surprise. After almost 5 months she still absolutely loves it and to be fair I have been very very impressed with it. We both love our sports cars and they should be fun above all else. The e-208 is certainly that. GT model fully loaded with pano sunroof. Seems to better and more fun than the Corsa e which shares it's platform. 

I know you asked about the Mini e but e-208 is proper 5 seater (at a squeeze)- Mini strict 4 seater only and cramped at that. e-208 has a more useful boot. Bigger battery at 50kWh and faster charging speed at up to 100kw (Mini 33kWh battery?-Still only 50kW charge speed). 

500e- 85kW which is fast enough to charge a 40-45kWh battery. 

And the 208 is Europes best selling car, which came as a surprise to us, but not really now we come to think of it. Peugeot 2008, Europes 2nd best selling car to boot! Yes they are both available as petrol, diesel and electric models but they must have done something right to knock the typical Ford Fiesta, Renault Clio or VW Golf off their perches!

If it is between the 500e and Mini I would take the 500e. It is a proper and very modern high quality feeling (la Prima edition sampled only) EV with a decent sized battery and range and good enough charge speeds. If you can live with the smallish boot (very small on the convertible as it has small boot opening also) and cramped rear space. It will be an excellent commuting car as fun also.

Mini e is a converted EV on an ageing platform but then again is tried and tested. BMW/Mini will be releasing a new ground up Mini EV in conjunction with Great Wall Motors of China (I believe) in the coming months.Probably early to mid 2022.
 
","
MarkyM
"
14,"
Very informative breakdown, thanks. My wife is looking for a small car, as we already have a ZOE, but she is starting to gravitate towards the ID3. We've got a few more test drive to do first. Mini e, ID3, Honda E (only cause I want to have a go in it) and the Fiat. Might look at the 208 too.
 
","
Mickeypeach
"
15,"
What's the delivery lead time on the 500e? What are the seats like in it? The ones in the Honda E were quite firm. 

Even though I know the Honda E will not fit into my life at all I'm still wanting to find ways I can have one. It's a beguiling git.
 
","
srichards
"
16,"
We've just had our test drive and I have to agree with everything @MarkyM said. The thing that stuck out the most for me was the infotainment system, very slick and crystal clear. I think I would choose the maps over the Apple ones on Car Play. The wind noise is apparent but then that's driving a convertible car. We even managed to activate the roof at 50mph!! The car drives beautifully and is very much like our current Fiat 500 (but without the 57k miles), firm and sure footed. The acceleration is nippy and the speed is more than acceptable for a quick dash down the M1. Couldn’t quite get the ACC and LKA to work properly but then we were both pressing and guessing. The seats are firm and much like the 500 that we have although I thought there was supposed to be more adjustment but couldn’t see it. Lead times……we’re told that our car isn’t made yet but then the salesman tried to explain how a vehicle production line works and that the car was probably in a layby bit waiting for the winter pack or something. His words not mine! I suspect we’ll get a call in the next couple of weeks…

Like most we haven’t had much to smile about lately but Mrs M cracked a massive smile when the roof went back and she sped off. Really looking forward to owning this car.
 
","
Oilymo
"
17,"
Looks like the 500e is doing the rounds of all the UK motoring press at the moment as all have reviews up online. Good reviews across the board including for the small battery version. It is a light and compact EV. And they seems to agree that it seems quite efficient. Will have to see if Bjorn Nyland gets one on test to see what the real world range is like.
 
","
MarkyM
"
0,"
Noticed that quite a few initial reviews of the new electric Fiat 500 are now on Youtube from the German reviewers.

The most interesting one that I came across is linked below (links jumps to charging section), however due to its length the auto generated closed captions aren't available.

Key take aways from the linked video at the 150kW Charger

Car plugged in at 7% - Initial charge rate of 82kW
26 Minutes to 81% - At 81% Charge rate of 42.5kW with 27.7 kWh delivered in that time
42/43kW until 85%, seems as though it is a staircase shaped charge curve
At 85% charge rate drops to 13kW
Around 29 minutes from 7% to 85% - 29.4 kWh delivered in that time






Another German review of the car with auto-generated closed captions available





 
","
Kronospace
"
1,"
English full length review now available





 
","
Kronospace
"
0,"
I enjoy driving our little Fiat 500e over in California and feel one of these would make a perfect runabout when we are over in the UK. Most of the non EV parts are standard Fiat 500 so in theory it shouldn't be too expensive to maintain standard wear items, tyres, brakes, wipers etc. Some inexpensive reliable Fiat 500e 2013 models here in California can be found for less than $5000. Looking at the cost to ship from the US to the UK should be less than $1000 according to : How Much Does Shipping a Car Overseas Cost? - CostHelper

Once this pandemic has declined, I'm sorely tempted to buy another 500e then pack up our current 500e for the UK but not sure about the current UK car inspection requirements. Looking at the VAT impact it should be zero as it has been owned by us outside the EU (if that even matters anymore) for almost two years. Essentially everything except the drive train and some of the trim is standard Fiat 500 especially safety elements so I would think there would be no additional inspection items required?

Here's an example of a 2016 500e for $5991 https://www.cars.com/vehicledetail/detail/828502330/overview/

Any thoughts - or am I totally crazy?
 
","
Wastedspacer
"
1,"If you want an EV runabout in the UK, plenty of used Zoe's to choose from.
 
","
freddym
"
2,"
Crazy! perhaps a bit too much time in that Californian sun.

A car with the steering wheel on the wrong side, will not make a convenient city runabout!
Not to mention and shipping costs and import duties will probably cost the same as several monthly car payments
 
","
Hairy Leafer
"
3,"
Well plenty of Chevys and Mustangs get imported with no trouble. You just need to get an estimate of taxes and duties from a shipping company. There are specialists around who can handle all the paperwork to import.

I wouldn't worry about the steering wheel on the other side - you get used to it.

But after all the cost, it might be cheaper and easier to get a Zoe/VW eUp or similar. As suggested above.

Or wait until Fiat release the new e500 in the UK, with some good PCP deals.
 
","
cah197
"
4,"Really? It’s a Fiat 500, not a Range Rover, what problems do you forsee with it being LHD?!
 
","
Kiltox
"
5,"
Sounds like a great idea, until you have an issue with the HV system and there is no one in the UK who has ever see one before... that would be my worry

So if you are the adventurous sort and don't mind the odd headache you will have a cheap and fun city runabout.

Like that car and want to keep it, do it, I had a mate who emigrated to Australia in the 80s and he took his beloved Daimler Sovereign Coupe there with him, the price I recall was higher than you are paying now! Bloke from work went to Australia a few years ago and took his RS4 with him exactly for the same reason.
 
","
Biffa
"
6,"
As it will be permanently imported it will have to be fitted with UK legal lights which may or may not be cheap to do. I know someone who got badly stung by this with a Jaguar which he though would save him money over UK prices but ended up being more expensive. I think there is also an import duty to pay unless it is over a certain age.
 
","
Gt6k
"
7,"
Import duty will be the biggest problem I reckon. Unless there’s some kind of exemption for bringing over your own personal car (which I doubt).
 
","
Kiltox
"
8,"
When importing a car from the America to the UK, you can do so completely tax free if you have owned the car for at least six months and have lived outside the EU for over 12 months.

If these criteria don’t apply then cars built in the EU are subject to £50 duty and 20% VAT, based on the amount you paid for the car, with those built outside of the EU coming in at 10% duty and 20% VAT.

Most cars that are over 30 years old will qualify for 5% import VAT and no duty when being imported, providing they haven’t been significantly modified from their original use and are not intended to be your daily driver.
 
","
Biffa
"
9,"
Always a good idea to get the pros and cons down on a piece of paper and cost against alternatives.
 
","
freddym
"
10,"It’s still a Fiat 500. I understand they are sold in the UK.
 
","
cah197
"
11,"
Indeed, note the bit above, given you were thinking of purchasing a second one, you really need to make sure it is going to fulfill the ownership criteria.

Biggest change at the back is a fog light, and not sure if the headlamps need replacing once you bring it over, but given the parts are likely shared with the UK 500 it should be easy enough to source them.
 
","
Biffa
"
12,"
Do it! 

There are lots of pros and cons here, but I expect that the reason you want it is more to do with the heart than the head. The main question for me would be if you have the time to do the research and paperwork etc, but it is a fun project and one that could be interesting.

p.s. Fancy bringing one over for me  Sounds perfect for bombing round town.
 
","
Panda
"
13,"roundabouts, lane changes, an increased chance on quiet roads that you might drive on the wrong side of the road, increased insurance costs, that reflect both increased collision risk and potential difficulty obtaining parts a fewer authorised repairers...

What advantages does bringing it over give you opposed to sourcing a local car?
 
","
Hairy Leafer
"
14,"
It’s not difficult to change lanes or navigate roundabouts in a small LHD car in the U.K.
 
","
Kiltox
"
15,"
Would it be considered rude to point out that Fiat are now taking orders for a much improved 500e to Europe & the UK for the 2021 model year?









New Fiat 500e hatchback: electric city car to cost £26,995 | Autocar


New hatchback version of reinvented electric-only city car now available to order in UK, joining convertible in expanded range




www.autocar.co.uk




 
","
WonkoTheSaneUK
"
16,"
Is it $5000 plus importation costs? or will it be more expensive than that?

So for an extra 20k you can have much improved..... I am assuming range, how much would that be per mile of additional and possibly un needed city car range.
 
","
Biffa
"
17,"
The California spec. Fiat 500e doesn't have rapid charging, but I suppose you already know that.
 
","
andrew*debbie
"
18,"...but it is easier in a rhd one!
If there was even a 1% increased risk of me doing harm to myself, a loved one or anyone else I wouldn't do it, but I'm not you.
If you have a strong emotional attachment to the car go for it
 
","
Hairy Leafer
"
19,"
Best to get an insurance quote too. Car is an oddball and some companies won't insure it.
 
","
andrew*debbie
"
0,"That’s just because it’s what you’re used to.
 
","
cah197
"
1,"Im sure you’re even less likely to cause harm if you take public transport instead, let’s ban cars!
 
","
Kiltox
"
2,"Ssssshh Boris might hear you...
 
","
Biffa
"
3,"He’s already banned petrol and diesel cars from 2030 hasn’t he? A shouty man on the Internet said he had so it must be true. Scrapping all those 2029 cars will be so wasteful ;-)
 
","
Kiltox
"
4,"
Imagine if you have just bought a range rover in 2029 with only 2,000 mile on it, that would be a terrible waste....

What is frightening is that people will believe this sh!t
 
","
Biffa
"
5,"if that were true manufacturers would only sell LHD cars made for the world market and save themselves a fortune on the basis we would soon get used to it.
 
","
Hairy Leafer
"
6,"Parallel parking is much easier though, just stick your head out the window to see the kerb 
 
","
cdlb
"
7,"
I agree with others that it really isn't a great idea. I can see why my neighbour bought a Corvette in Flordia and shipped it over here as a rare (in UK) and expensive car, but I wouldn't suggest doing it for something (if you excuse me) a bit mundane. Servicing and repairs would be a nightmare as not only the EV side but other parts are totally different - brake system, hvac, etc. 

If you aren't currently UK resident and have owned 6 months then you probably wouldn't have much to pay other than transport, but there is cost of IVA process with any required changes. And no, a USA Fiat 500e definitely can't use type approval of a EU petrol one!
 
","
proddick
"
8,"Yes.

The reason we have a wheel on the opposite side to which we drive is because we used to carry swords.
 
","
cah197
"
9,"The only downside is overtaking on single carriageways.

The easy solution is not to overtake. Or use your co-pilot.
 
","
cah197
"
10,"
I imported a Fiat from Jersey(!) in 1984. Apart from car tax & vat which I had to pay to the customs, the DVLC required a 'type approval certificate' from Fiat. This was pricey IIRC, and did not require any modifications at all. I certainly would not want to try the above with an American car.
 
","
Tandy0
"
11,"Yes there used to be a good weeze of importing 6 month old cars from Jersey to save money - presumably that loophole was closed?

For our friend the other side of the pond, Jersey is a Channel Island near France that is a British territory, is not part of the EU and has no VAT (sales tax)
 
","
proddick
"
12,"And Germany, as anyone who's served in the military or civil service over there will tell you.

The dealers would even order you one with a wheel on the wrong side. 
 
","
cah197
"
13,"
I am not sure about cars but when I imported second hand american motor homes I just had to get a mot test. I had to convert the brake flashers to indicators and got Amber lenses. Then two circuit to the rear one for the new brake lights and one for the fog light with an illuminated switch. 
The light conversion sounds complicated but actually you just cut the brake feed to the stalk and divert to the rear. 
Oh I almost forgot white indicators at the front need changing to Amber.
 
","
Rory166
"
14,"
Looks like you'll need a basic IVA:









Vehicle approval


Type approval, individual (IVA), motorcycle single vehicle approval, voluntary approval, certificate of initial fitness, accessibility approval, fees, forms, replacement certificates




www.gov.uk





Doesn't seem too hard.
 
","
cah197
"
15,"@Wastedspacer what is the situation with the 500e, are the indicators white, red or amber?

If they cannot be adjusted, pair of headlamps on ebay for the car are £40 each and if you had to change the rear lights £25 a each, add a fog light and you should be done!

Having had a look at some UK Fiat 500 and the 500e (Thanks ebay.com) the units look pretty much identical i.e. the lenses don't appear to be coloured differently

I wonder if the fog light button is a blank and wiring is behind it still!
 
","
Biffa
"
16,"Since they sell petrol 500 in the UK it should be simple to convert to UK spec and pass an IVA test.
 
","
Rory166
"
17,"
Parts vary more than you expect - I used to own a UK Citroen, whilst on holiday in France the rear light cluster was damaged. The French dealer did not have the UK part in stock so we fitted a French one and had to adjust the wiring loom in the car to get the sidelights to work. So someone now has a car which is half UK and half French wiring!
 
","
Blanik
"
18,"Thanks for the suggestion and certainly a good point, I did check some options out the last time we were there. Zoe's are ok but not so easy to manoeuver and certainly not as much of a fun ride as the 500e. The 500e is incredibly nimble, great visibility and easy to park, the Zoe was certainly comfortable and had decent visibility but seemed to have the turning circle of a double-decker! The other downside to the most reasonably priced Zoe's were the rental batteries. .
 
","
Wastedspacer
"
19,"Really, I was thinking having the steering wheel next to the side of the road you need to park might be an advantage 
 
","
Wastedspacer
"
0,"
Found this advisory suggesting import duties won't be an issue:

""If you have owned the vehicle for at least six months and lived outside of the EU for at least one year (185 consecutive days) and are moving back to the UK permanently, then you will not have to pay any import VAT or duty (which is nice.)In order to prove this we will require proof of US residency from at least one year ago, for example a utility bill, bank / mortgage statement and also proof of vehicle ownership from at least six months ago, for example an insurance certificate or title/registration document ""
 
","
Wastedspacer
"
1,"
Since we are considering moving back to the UK - then that would make a lot of sense - we could bring both cars back but the Fiat should be a lot more supportable.... and my wife would not want to drive LHD.
 
","
Wastedspacer
"
2,"It does seem that you are exempt so long as you can prove you have owned it for more than 6 months. The kicker is to get the exemption we have to be moving over permanently which we may be but waiting until this pandemic is put to rest first.
 
","
Wastedspacer
"
3,"Yes indeed - just a regular 1772 connection but it only take a couple of hours or so on our level 2, or overnight on standard mains to get to a full charge
 
","
Wastedspacer
"
4,"True - that might be a showstopper - our current insurance company might not be that creative.
 
","
Wastedspacer
"
5,"Luckily it came with amber flashers 
 
","
Wastedspacer
"
6,"No, not rude at all, looking at the layout and specs, it would certainly be a familiar car and if the price is reasonable with incentives along with the considerably better 199 mile range, DC Fast charge and equipment improvements it might be perfect. I'd still be tempted to bring over the old 500e as a project car though ... great thoughts ... have to see what the missus says 
 
","
Wastedspacer
"
7,"I drive too slowly to overtake 
 
","
cdlb
"
8,"UK incentives constist solely of £3000 off the sticker price, and £350 off the sticker price of an L2 charger.
As the article says, that £26,995 price is after incentives. However, several electricity suppliers here have cheap tariffs specifically for EV owners.
 
","
WonkoTheSaneUK
"
9,"
While it would be cool to bring across a Fiat 500e, i think the practicalities would make it more hassle than it's worth:

1. As mentioned, insurance might be an issue and could cost a lot.
2. I believe the vehicle will still need to pass an IVA (Individual Vehicle Approval) prior to being registered in the UK - this is more cost and hassle.
3. Once you have it in the UK, if something goes wrong you might be stuck for quite a while to get parts.

Once you add up all the various expenses, I think you would be better to pick up a second hand Nissan Leaf in the UK - it will probably cost you a lot less in both money and stress!
 
","
tophatron
"
0,"
Hi,
We are close to ordering a new fiat 500e, but I am interested in the service intervals and cost. The dealer are saying the intervals are every 12 months or 9000 miles..? Is this correct for an electric car.? Surely there is nothing much to service as it has very little moving parts.?
If anybody has knowledge of this any information would be appreciated.
 
","
dsaunders70
"
1,"
Well our car came with three years service and roadside recovery included so I didn’t look…….
 
","
Zzb
"
2,"
I've contacted my local dealer (not the one supplying ) and they said they didn't have any details on frequency nor cost ....... There's cars being driven I find it pretty unacceptable tbh. 

They said 'ah well - the cars probably won't need servicing for 12 months so we've got plenty of time'.......

Also we're picking ours up in September. We didn't get offered the servicing package. Is that a fiat wide offer or something the dealer can elect to provide?
 
","
.Tom.
"
3,"
I spoke to the dealer again when we placed our order yesterday... and they confirmed service is every 12 months...! This is ridiculous, my Skoda enyaq is every 24 months...!

There is an offer for fixed price servicing of £299 for 3 years... I think this is only available if using PCP finance..

Sent from my SM-N975F using Tapatalk
 
","
dsaunders70
"
4,"
Thanks did they indicate costs? We're moving forward with a 3 year PCP (Hoping there's a Abarth version). 

If it is every 12 months it might be worth it for us..... 

Cheers 

Tom
 
","
.Tom.
"
5,"They said the below costs would be if there was no service plan in place

1st Service = £125
2nd service = £175
3rd service = £125

I've asked them to go back and check these costa as they seem very expensive... Electric cars are supposed to be cheaper to service as there are less moving parts etc..
 
","
dsaunders70
"
6,"
Does the included services cover rusted brake disks?
 
","
ringi
"
7,"Not sure what you mean..? Would of thought this might be covered by the warranty..? Do you have issues with rusty discs..? The 500 has discs at the front and drums at the back, so the rear ones do not get rusty.
 
","
dsaunders70
"
8,"
Because most EV's have regenerative braking (to put energy back into the battery when slowing down or going downhill), the friction brakes do not get as much regular use as with ICE cars, so brake discs can get rusty through little use.
 
","
Hilltop Dave
"
9,"
They need to ensure that the dealers get paid.
 
","
Mickeypeach
"
0,"
Apologies if I've missed a thread on this, but I couldn't find one.

The new Fiat 500e has been revealed and to me it looks like a very appealing prospect. Good looks, a much better interior than the current 500 and decent specs (including a 42kWh battery).









Fiat 500 Review 2022


Read the definitive Fiat 500 2022 review from the expert What Car? team. Check specs, prices, performance and compare with similar cars.




www.whatcar.com





The prices sound keen and I think it would make a great alternative to the Mini Cooper SE and Honda e.








 
","
tophatron
"
1,"
£29,000 after the grant?

I guess this is the new normal for electric super-minis?
 
","
cah197
"
2,"
That appears to be the price for the ""loaded"" first editions (which is another general trend for car launches), they seem to be targeting a £21-25k figure for the regular models (including the £3k grant).
 
","
tophatron
"
3,"
We are looking at a car for my wife, and it was between the Mini e and the Honda e, but I think we will wait and look at the Fiat 500 e convertible, she already has a Mini convertible. Once the lower costs are revealed, then I cannot see why if you are after a small car, you would choose the more expensive, shorter range cars (Mini and Honda e)
 
","
Mickeypeach
"
4,"
Yeah, they seem to have pitched it pretty well. Will be interesting to see if the usual Fiat discounts are available too...
 
","
tophatron
"
5,"If the US version is anything to go by, there will be. Seeing as FCA need to sell every EV they can to offset their fleet emissions on things like Jeeps and Maseratis.
 
","
cah197
"
6,"





 
","
E7EV
"
7,"
Pricing now announced. Looks quite reasonable:









The New Fiat 500 Electric: Three Types, Two Battery Options


Fiat recently introduced its third body version of the new 500 model - the 3+1, with small rear doors - which will join the hatchback and cabrio.




insideevs.com




 
","
cah197
"
8,"
The 24kWh battery in the lowest model is a bit disappointing as it plays into the ""too little range for the price"" narrative that's surrounded cars like the Honda e and Mini Cooper SE. The 42kWh models look good though and the prices are reasonable, especially if they get the usual Fiat discounts... 
 
","
tophatron
"
9,"
Would this be the first official EV soft-top?
 
","
WonkoTheSaneUK
"
10,"Smart is already available in soft top.



tophatron said:



The 24kWh battery in the lowest model is a bit disappointing as it plays into the ""too little range for the price"" narrative that's surrounded cars like the Honda e and Mini Cooper SE. The 42kWh models look good though and the prices are reasonable, especially if they get the usual Fiat discounts... 

","
proddick
"
11,"Hopefully they will offer ridiculous deals to offset all those Jeep, Maserati and Ferrari sales!

Instead of paying money to Tesla. 
 
","
cah197
"
12,"Now that sounds like a great idea! 
 
","
tophatron
"
13,"They haven't said they will join Tesla pool for 2021 so I think you will be correct 

I guess Jeep PHEV will help them too 
 
","
proddick
"
14,"They must be banking on mega electric 500 sales then.
 
","
cah197
"
15,"Still 1.67x Supercredit in 2021 so selling BEVs is their best strategy...
 
","
proddick
"
0,"
Do any other 500e drivers have issues with the intelligent speed assist system?, My La Prima seems to identify signs correctly, but after a period of not seeing a sign, it checks the sat nav, and it appears to convert the sat nav speed from km to miles..... So a 30 sat nav signal displays as 20 mph.... 60 as 40mph etc. Lovely car, but this software bug is very annoying, and Fiat does not seem to have any answers!!!
 
","
Derbylad64
"
1,"
I’m yet to see one that works on any car. Speed limiters are great, but I would always adjust it manually.
 
","
TJEV
"
0,"
Thinking of ordering a Fiat 500e on lease as a second car. What are current lead times like? Has anyone had experience recently?
 
","
Metcast
"
1,"
I think it would depend on the spec you want. The dealer network have some models in stock, or on order, so depending on your requirements, you may get lucky with a car in stock, or maybe one that is on order but not locked down, so you could add extras/colour options, but that would probably be 3 month wait for build and delivery.
 
","
LaserTam
"
0,"
I enjoy driving our little Fiat 500e over in California and feel one of these would make a perfect runabout when we are over in the UK. Most of the non EV parts are standard Fiat 500 so in theory it shouldn't be too expensive to maintain standard wear items, tyres, brakes, wipers etc. Some inexpensive reliable Fiat 500e 2013 models here in California can be found for less than $5000. Looking at the cost to ship from the US to the UK should be less than $1000 according to : How Much Does Shipping a Car Overseas Cost? - CostHelper

Once this pandemic has declined, I'm sorely tempted to buy another 500e then pack up our current 500e for the UK but not sure about the current UK car inspection requirements. Looking at the VAT impact it should be zero as it has been owned by us outside the EU (if that even matters anymore) for almost two years. Essentially everything except the drive train and some of the trim is standard Fiat 500 especially safety elements so I would think there would be no additional inspection items required?

Here's an example of a 2016 500e for $5991 https://www.cars.com/vehicledetail/detail/828502330/overview/

Any thoughts - or am I totally crazy?
 
","
Wastedspacer
"
1,"If you want an EV runabout in the UK, plenty of used Zoe's to choose from.
 
","
freddym
"
