,Username,Link of user profile,Num of posts per user,Discussion Date,User joined date
19,"
andrew*debbie
",https://www.speakev.com/members/andrew-debbie.416/,"12,585 Posts ","Nov 19, 2020","Mar 12, 2014"
0,"
cah197
",https://www.speakev.com/members/cah197.2505/,"26,262 Posts ","Nov 19, 2020","May 12, 2015"
1,"
Kiltox
",https://www.speakev.com/members/kiltox.91640/,390 Posts ,"Nov 19, 2020","Sep 12, 2020"
2,"
Biffa
",https://www.speakev.com/members/biffa.5634/,"3,033 Posts ","Nov 19, 2020","Apr 10, 2016"
3,"
Kiltox
",https://www.speakev.com/members/kiltox.91640/,390 Posts ,"Nov 19, 2020","Sep 12, 2020"
4,"
Biffa
",https://www.speakev.com/members/biffa.5634/,"3,033 Posts ","Nov 19, 2020","Apr 10, 2016"
5,"
Hairy Leafer
",https://www.speakev.com/members/hairy-leafer.1937/,"1,227 Posts ","Nov 19, 2020","Feb 26, 2015"
6,"
cdlb
",https://www.speakev.com/members/cdlb.86365/,676 Posts ,"Nov 19, 2020","Feb 15, 2020"
7,"
proddick
",https://www.speakev.com/members/proddick.71/,"12,472 Posts ","Nov 19, 2020","Feb 2, 2012"
8,"
cah197
",https://www.speakev.com/members/cah197.2505/,"26,262 Posts ","Nov 19, 2020","May 12, 2015"
9,"
cah197
",https://www.speakev.com/members/cah197.2505/,"26,262 Posts ","Nov 19, 2020","May 12, 2015"
10,"
Tandy0
",https://www.speakev.com/members/tandy0.83879/,"1,869 Posts ","Nov 19, 2020","Sep 11, 2019"
11,"
proddick
",https://www.speakev.com/members/proddick.71/,"12,472 Posts ","Nov 19, 2020","Feb 2, 2012"
12,"
cah197
",https://www.speakev.com/members/cah197.2505/,"26,262 Posts ","Nov 19, 2020","May 12, 2015"
13,"
Rory166
",https://www.speakev.com/members/rory166.777/,"2,227 Posts ","Nov 19, 2020","Jul 6, 2014"
14,"
cah197
",https://www.speakev.com/members/cah197.2505/,"26,262 Posts ","Nov 19, 2020","May 12, 2015"
15,"
Biffa
",https://www.speakev.com/members/biffa.5634/,"3,033 Posts ","Nov 19, 2020","Apr 10, 2016"
16,"
Rory166
",https://www.speakev.com/members/rory166.777/,"2,227 Posts ","Nov 19, 2020","Jul 6, 2014"
17,"
Blanik
",https://www.speakev.com/members/blanik.76248/,437 Posts ,"Nov 19, 2020","Jan 30, 2019"
18,"
Wastedspacer
",https://www.speakev.com/members/wastedspacer.93109/,15 Posts ,"Nov 19, 2020","Nov 19, 2020"
19,"
Wastedspacer
",https://www.speakev.com/members/wastedspacer.93109/,15 Posts ,"Nov 19, 2020","Nov 19, 2020"
0,"
Wastedspacer
",https://www.speakev.com/members/wastedspacer.93109/,15 Posts ,"Nov 19, 2020","Nov 19, 2020"
1,"
Wastedspacer
",https://www.speakev.com/members/wastedspacer.93109/,15 Posts ,"Nov 19, 2020","Nov 19, 2020"
2,"
Wastedspacer
",https://www.speakev.com/members/wastedspacer.93109/,15 Posts ,"Nov 19, 2020","Nov 19, 2020"
3,"
Wastedspacer
",https://www.speakev.com/members/wastedspacer.93109/,15 Posts ,"Nov 19, 2020","Nov 19, 2020"
4,"
Wastedspacer
",https://www.speakev.com/members/wastedspacer.93109/,15 Posts ,"Nov 19, 2020","Nov 19, 2020"
5,"
Wastedspacer
",https://www.speakev.com/members/wastedspacer.93109/,15 Posts ,"Nov 19, 2020","Nov 19, 2020"
6,"
Wastedspacer
",https://www.speakev.com/members/wastedspacer.93109/,15 Posts ,"Nov 19, 2020","Nov 19, 2020"
7,"
cdlb
",https://www.speakev.com/members/cdlb.86365/,676 Posts ,"Nov 19, 2020","Feb 15, 2020"
8,"
WonkoTheSaneUK
",https://www.speakev.com/members/wonkothesaneuk.80086/,"4,982 Posts ","Nov 20, 2020","May 28, 2019"
9,"
tophatron
",https://www.speakev.com/members/tophatron.13593/,37 Posts ,"Nov 23, 2020","Jan 25, 2017"
0,"
dsaunders70
",https://www.speakev.com/members/dsaunders70.78496/,6 Posts ,9 mo ago,"Apr 17, 2019"
1,"
Zzb
",https://www.speakev.com/members/zzb.7441/,124 Posts ,9 mo ago,"Oct 4, 2016"
2,"
.Tom.
",https://www.speakev.com/members/tom.15145/,134 Posts ,9 mo ago,"Feb 5, 2017"
3,"
dsaunders70
",https://www.speakev.com/members/dsaunders70.78496/,6 Posts ,9 mo ago,"Apr 17, 2019"
4,"
.Tom.
",https://www.speakev.com/members/tom.15145/,134 Posts ,9 mo ago,"Feb 5, 2017"
5,"
dsaunders70
",https://www.speakev.com/members/dsaunders70.78496/,6 Posts ,9 mo ago,"Apr 17, 2019"
6,"
ringi
",https://www.speakev.com/members/ringi.8479/,"2,832 Posts ",9 mo ago,"Jan 5, 2017"
7,"
dsaunders70
",https://www.speakev.com/members/dsaunders70.78496/,6 Posts ,9 mo ago,"Apr 17, 2019"
8,"
Hilltop Dave
",https://www.speakev.com/members/hilltop-dave.3040/,"2,420 Posts ",9 mo ago,"Jul 15, 2015"
9,"
Mickeypeach
",https://www.speakev.com/members/mickeypeach.25425/,79 Posts ,9 mo ago,"May 8, 2017"
0,"
tophatron
",https://www.speakev.com/members/tophatron.13593/,37 Posts ,"Sep 4, 2020","Jan 25, 2017"
1,"
cah197
",https://www.speakev.com/members/cah197.2505/,"26,262 Posts ","Sep 4, 2020","May 12, 2015"
2,"
tophatron
",https://www.speakev.com/members/tophatron.13593/,37 Posts ,"Sep 4, 2020","Jan 25, 2017"
3,"
Mickeypeach
",https://www.speakev.com/members/mickeypeach.25425/,79 Posts ,"Sep 9, 2020","May 8, 2017"
4,"
tophatron
",https://www.speakev.com/members/tophatron.13593/,37 Posts ,"Sep 9, 2020","Jan 25, 2017"
5,"
cah197
",https://www.speakev.com/members/cah197.2505/,"26,262 Posts ","Sep 9, 2020","May 12, 2015"
6,"
E7EV
",https://www.speakev.com/members/e7ev.74132/,"3,710 Posts ","Oct 22, 2020","Nov 15, 2018"
7,"
cah197
",https://www.speakev.com/members/cah197.2505/,"26,262 Posts ","Oct 26, 2020","May 12, 2015"
8,"
tophatron
",https://www.speakev.com/members/tophatron.13593/,37 Posts ,"Oct 26, 2020","Jan 25, 2017"
9,"
WonkoTheSaneUK
",https://www.speakev.com/members/wonkothesaneuk.80086/,"4,982 Posts ","Oct 26, 2020","May 28, 2019"
10,"
proddick
",https://www.speakev.com/members/proddick.71/,"12,472 Posts ","Oct 26, 2020","Feb 2, 2012"
11,"
cah197
",https://www.speakev.com/members/cah197.2505/,"26,262 Posts ","Oct 26, 2020","May 12, 2015"
12,"
tophatron
",https://www.speakev.com/members/tophatron.13593/,37 Posts ,"Oct 26, 2020","Jan 25, 2017"
13,"
proddick
",https://www.speakev.com/members/proddick.71/,"12,472 Posts ","Oct 26, 2020","Feb 2, 2012"
14,"
cah197
",https://www.speakev.com/members/cah197.2505/,"26,262 Posts ","Oct 26, 2020","May 12, 2015"
15,"
proddick
",https://www.speakev.com/members/proddick.71/,"12,472 Posts ","Oct 26, 2020","Feb 2, 2012"
0,"
Derbylad64
",https://www.speakev.com/members/derbylad64.97683/,1 Posts ,11 mo ago,11 mo ago
1,"
TJEV
",https://www.speakev.com/members/tjev.73512/,"3,269 Posts ",11 mo ago,"Oct 27, 2018"
0,"
Metcast
",https://www.speakev.com/members/metcast.63321/,721 Posts ,4 mo ago,"Apr 15, 2018"
1,"
LaserTam
",https://www.speakev.com/members/lasertam.98903/,45 Posts ,4 mo ago,9 mo ago
0,"
Wastedspacer
",https://www.speakev.com/members/wastedspacer.93109/,15 Posts ,"Nov 19, 2020","Nov 19, 2020"
1,"
freddym
",https://www.speakev.com/members/freddym.41433/,"8,707 Posts ","Nov 19, 2020","Oct 14, 2017"
2,"
Hairy Leafer
",https://www.speakev.com/members/hairy-leafer.1937/,"1,227 Posts ","Nov 19, 2020","Feb 26, 2015"
3,"
cah197
",https://www.speakev.com/members/cah197.2505/,"26,262 Posts ","Nov 19, 2020","May 12, 2015"
4,"
Kiltox
",https://www.speakev.com/members/kiltox.91640/,390 Posts ,"Nov 19, 2020","Sep 12, 2020"
5,"
Biffa
",https://www.speakev.com/members/biffa.5634/,"3,033 Posts ","Nov 19, 2020","Apr 10, 2016"
6,"
Gt6k
",https://www.speakev.com/members/gt6k.85303/,320 Posts ,"Nov 19, 2020","Dec 22, 2019"
7,"
Kiltox
",https://www.speakev.com/members/kiltox.91640/,390 Posts ,"Nov 19, 2020","Sep 12, 2020"
8,"
Biffa
",https://www.speakev.com/members/biffa.5634/,"3,033 Posts ","Nov 19, 2020","Apr 10, 2016"
9,"
freddym
",https://www.speakev.com/members/freddym.41433/,"8,707 Posts ","Nov 19, 2020","Oct 14, 2017"
10,"
cah197
",https://www.speakev.com/members/cah197.2505/,"26,262 Posts ","Nov 19, 2020","May 12, 2015"
11,"
Biffa
",https://www.speakev.com/members/biffa.5634/,"3,033 Posts ","Nov 19, 2020","Apr 10, 2016"
12,"
Panda
",https://www.speakev.com/members/panda.5427/,"1,189 Posts ","Nov 19, 2020","Mar 22, 2016"
13,"
Hairy Leafer
",https://www.speakev.com/members/hairy-leafer.1937/,"1,227 Posts ","Nov 19, 2020","Feb 26, 2015"
14,"
Kiltox
",https://www.speakev.com/members/kiltox.91640/,390 Posts ,"Nov 19, 2020","Sep 12, 2020"
15,"
WonkoTheSaneUK
",https://www.speakev.com/members/wonkothesaneuk.80086/,"4,982 Posts ","Nov 19, 2020","May 28, 2019"
16,"
Biffa
",https://www.speakev.com/members/biffa.5634/,"3,033 Posts ","Nov 19, 2020","Apr 10, 2016"
17,"
andrew*debbie
",https://www.speakev.com/members/andrew-debbie.416/,"12,585 Posts ","Nov 19, 2020","Mar 12, 2014"
18,"
Hairy Leafer
",https://www.speakev.com/members/hairy-leafer.1937/,"1,227 Posts ","Nov 19, 2020","Feb 26, 2015"
19,"
andrew*debbie
",https://www.speakev.com/members/andrew-debbie.416/,"12,585 Posts ","Nov 19, 2020","Mar 12, 2014"
0,"
cah197
",https://www.speakev.com/members/cah197.2505/,"26,262 Posts ","Nov 19, 2020","May 12, 2015"
1,"
Kiltox
",https://www.speakev.com/members/kiltox.91640/,390 Posts ,"Nov 19, 2020","Sep 12, 2020"
2,"
Biffa
",https://www.speakev.com/members/biffa.5634/,"3,033 Posts ","Nov 19, 2020","Apr 10, 2016"
3,"
Kiltox
",https://www.speakev.com/members/kiltox.91640/,390 Posts ,"Nov 19, 2020","Sep 12, 2020"
4,"
Biffa
",https://www.speakev.com/members/biffa.5634/,"3,033 Posts ","Nov 19, 2020","Apr 10, 2016"
5,"
Hairy Leafer
",https://www.speakev.com/members/hairy-leafer.1937/,"1,227 Posts ","Nov 19, 2020","Feb 26, 2015"
6,"
cdlb
",https://www.speakev.com/members/cdlb.86365/,676 Posts ,"Nov 19, 2020","Feb 15, 2020"
7,"
proddick
",https://www.speakev.com/members/proddick.71/,"12,472 Posts ","Nov 19, 2020","Feb 2, 2012"
8,"
cah197
",https://www.speakev.com/members/cah197.2505/,"26,262 Posts ","Nov 19, 2020","May 12, 2015"
9,"
cah197
",https://www.speakev.com/members/cah197.2505/,"26,262 Posts ","Nov 19, 2020","May 12, 2015"
10,"
Tandy0
",https://www.speakev.com/members/tandy0.83879/,"1,869 Posts ","Nov 19, 2020","Sep 11, 2019"
11,"
proddick
",https://www.speakev.com/members/proddick.71/,"12,472 Posts ","Nov 19, 2020","Feb 2, 2012"
12,"
cah197
",https://www.speakev.com/members/cah197.2505/,"26,262 Posts ","Nov 19, 2020","May 12, 2015"
13,"
Rory166
",https://www.speakev.com/members/rory166.777/,"2,227 Posts ","Nov 19, 2020","Jul 6, 2014"
14,"
cah197
",https://www.speakev.com/members/cah197.2505/,"26,262 Posts ","Nov 19, 2020","May 12, 2015"
15,"
Biffa
",https://www.speakev.com/members/biffa.5634/,"3,033 Posts ","Nov 19, 2020","Apr 10, 2016"
16,"
Rory166
",https://www.speakev.com/members/rory166.777/,"2,227 Posts ","Nov 19, 2020","Jul 6, 2014"
17,"
Blanik
",https://www.speakev.com/members/blanik.76248/,437 Posts ,"Nov 19, 2020","Jan 30, 2019"
18,"
Wastedspacer
",https://www.speakev.com/members/wastedspacer.93109/,15 Posts ,"Nov 19, 2020","Nov 19, 2020"
19,"
Wastedspacer
",https://www.speakev.com/members/wastedspacer.93109/,15 Posts ,"Nov 19, 2020","Nov 19, 2020"
0,"
Wastedspacer
",https://www.speakev.com/members/wastedspacer.93109/,15 Posts ,"Nov 19, 2020","Nov 19, 2020"
1,"
Wastedspacer
",https://www.speakev.com/members/wastedspacer.93109/,15 Posts ,"Nov 19, 2020","Nov 19, 2020"
2,"
Wastedspacer
",https://www.speakev.com/members/wastedspacer.93109/,15 Posts ,"Nov 19, 2020","Nov 19, 2020"
3,"
Wastedspacer
",https://www.speakev.com/members/wastedspacer.93109/,15 Posts ,"Nov 19, 2020","Nov 19, 2020"
4,"
Wastedspacer
",https://www.speakev.com/members/wastedspacer.93109/,15 Posts ,"Nov 19, 2020","Nov 19, 2020"
5,"
Wastedspacer
",https://www.speakev.com/members/wastedspacer.93109/,15 Posts ,"Nov 19, 2020","Nov 19, 2020"
6,"
Wastedspacer
",https://www.speakev.com/members/wastedspacer.93109/,15 Posts ,"Nov 19, 2020","Nov 19, 2020"
7,"
cdlb
",https://www.speakev.com/members/cdlb.86365/,676 Posts ,"Nov 19, 2020","Feb 15, 2020"
8,"
WonkoTheSaneUK
",https://www.speakev.com/members/wonkothesaneuk.80086/,"4,982 Posts ","Nov 20, 2020","May 28, 2019"
9,"
tophatron
",https://www.speakev.com/members/tophatron.13593/,37 Posts ,"Nov 23, 2020","Jan 25, 2017"
0,"
Mark25810
",https://www.speakev.com/members/mark25810.105197/,46 Posts ,4 mo ago,4 mo ago
1,"
LaserTam
",https://www.speakev.com/members/lasertam.98903/,45 Posts ,4 mo ago,9 mo ago
2,"
Mark25810
",https://www.speakev.com/members/mark25810.105197/,46 Posts ,4 mo ago,4 mo ago
3,"
LaserTam
",https://www.speakev.com/members/lasertam.98903/,45 Posts ,4 mo ago,9 mo ago
4,"
Mark25810
",https://www.speakev.com/members/mark25810.105197/,46 Posts ,4 mo ago,4 mo ago
0,"
bighardyfamily
",https://www.speakev.com/members/bighardyfamily.101999/,3 Posts ,6 mo ago,6 mo ago
1,"
LaserTam
",https://www.speakev.com/members/lasertam.98903/,45 Posts ,6 mo ago,9 mo ago
2,"
bighardyfamily
",https://www.speakev.com/members/bighardyfamily.101999/,3 Posts ,6 mo ago,6 mo ago
3,"
LaserTam
",https://www.speakev.com/members/lasertam.98903/,45 Posts ,6 mo ago,9 mo ago
4,"
Cinquecento
",https://www.speakev.com/members/cinquecento.98020/,21 Posts ,6 mo ago,10 mo ago
5,"
Bobbybarlow
",https://www.speakev.com/members/bobbybarlow.98043/,4 Posts ,6 mo ago,10 mo ago
6,"
LaserTam
",https://www.speakev.com/members/lasertam.98903/,45 Posts ,6 mo ago,9 mo ago
7,"
Cinquecento
",https://www.speakev.com/members/cinquecento.98020/,21 Posts ,6 mo ago,10 mo ago
8,"
Sofiak
",https://www.speakev.com/members/sofiak.104236/,4 Posts ,5 mo ago,5 mo ago
9,"
LaserTam
",https://www.speakev.com/members/lasertam.98903/,45 Posts ,5 mo ago,9 mo ago
10,"
Sofiak
",https://www.speakev.com/members/sofiak.104236/,4 Posts ,5 mo ago,5 mo ago
11,"
Cinquecento
",https://www.speakev.com/members/cinquecento.98020/,21 Posts ,4 mo ago,10 mo ago
12,"
Yerman
",https://www.speakev.com/members/yerman.104421/,27 Posts ,4 mo ago,4 mo ago
13,"
Bedworth147
",https://www.speakev.com/members/bedworth147.105572/,1 Posts ,4 mo ago,4 mo ago
14,"
Yerman
",https://www.speakev.com/members/yerman.104421/,27 Posts ,4 mo ago,4 mo ago
15,"
Yerman
",https://www.speakev.com/members/yerman.104421/,27 Posts ,4 mo ago,4 mo ago
16,"
Yerman
",https://www.speakev.com/members/yerman.104421/,27 Posts ,4 mo ago,4 mo ago
17,"
Cinquecento
",https://www.speakev.com/members/cinquecento.98020/,21 Posts ,4 mo ago,10 mo ago
0,"
tophatron
",https://www.speakev.com/members/tophatron.13593/,37 Posts ,"Sep 4, 2020","Jan 25, 2017"
1,"
cah197
",https://www.speakev.com/members/cah197.2505/,"26,262 Posts ","Sep 4, 2020","May 12, 2015"
2,"
tophatron
",https://www.speakev.com/members/tophatron.13593/,37 Posts ,"Sep 4, 2020","Jan 25, 2017"
3,"
Mickeypeach
",https://www.speakev.com/members/mickeypeach.25425/,79 Posts ,"Sep 9, 2020","May 8, 2017"
4,"
tophatron
",https://www.speakev.com/members/tophatron.13593/,37 Posts ,"Sep 9, 2020","Jan 25, 2017"
5,"
cah197
",https://www.speakev.com/members/cah197.2505/,"26,262 Posts ","Sep 9, 2020","May 12, 2015"
6,"
E7EV
",https://www.speakev.com/members/e7ev.74132/,"3,710 Posts ","Oct 22, 2020","Nov 15, 2018"
7,"
cah197
",https://www.speakev.com/members/cah197.2505/,"26,262 Posts ","Oct 26, 2020","May 12, 2015"
8,"
tophatron
",https://www.speakev.com/members/tophatron.13593/,37 Posts ,"Oct 26, 2020","Jan 25, 2017"
9,"
WonkoTheSaneUK
",https://www.speakev.com/members/wonkothesaneuk.80086/,"4,982 Posts ","Oct 26, 2020","May 28, 2019"
10,"
proddick
",https://www.speakev.com/members/proddick.71/,"12,472 Posts ","Oct 26, 2020","Feb 2, 2012"
11,"
cah197
",https://www.speakev.com/members/cah197.2505/,"26,262 Posts ","Oct 26, 2020","May 12, 2015"
12,"
tophatron
",https://www.speakev.com/members/tophatron.13593/,37 Posts ,"Oct 26, 2020","Jan 25, 2017"
13,"
proddick
",https://www.speakev.com/members/proddick.71/,"12,472 Posts ","Oct 26, 2020","Feb 2, 2012"
14,"
cah197
",https://www.speakev.com/members/cah197.2505/,"26,262 Posts ","Oct 26, 2020","May 12, 2015"
15,"
proddick
",https://www.speakev.com/members/proddick.71/,"12,472 Posts ","Oct 26, 2020","Feb 2, 2012"
0,"
bighardyfamily
",https://www.speakev.com/members/bighardyfamily.101999/,3 Posts ,6 mo ago,6 mo ago
1,"
LaserTam
",https://www.speakev.com/members/lasertam.98903/,45 Posts ,6 mo ago,9 mo ago
2,"
bighardyfamily
",https://www.speakev.com/members/bighardyfamily.101999/,3 Posts ,6 mo ago,6 mo ago
3,"
LaserTam
",https://www.speakev.com/members/lasertam.98903/,45 Posts ,6 mo ago,9 mo ago
4,"
Cinquecento
",https://www.speakev.com/members/cinquecento.98020/,21 Posts ,6 mo ago,10 mo ago
5,"
Bobbybarlow
",https://www.speakev.com/members/bobbybarlow.98043/,4 Posts ,6 mo ago,10 mo ago
6,"
LaserTam
",https://www.speakev.com/members/lasertam.98903/,45 Posts ,6 mo ago,9 mo ago
7,"
Cinquecento
",https://www.speakev.com/members/cinquecento.98020/,21 Posts ,6 mo ago,10 mo ago
8,"
Sofiak
",https://www.speakev.com/members/sofiak.104236/,4 Posts ,5 mo ago,5 mo ago
9,"
LaserTam
",https://www.speakev.com/members/lasertam.98903/,45 Posts ,5 mo ago,9 mo ago
10,"
Sofiak
",https://www.speakev.com/members/sofiak.104236/,4 Posts ,5 mo ago,5 mo ago
11,"
Cinquecento
",https://www.speakev.com/members/cinquecento.98020/,21 Posts ,4 mo ago,10 mo ago
12,"
Yerman
",https://www.speakev.com/members/yerman.104421/,27 Posts ,4 mo ago,4 mo ago
13,"
Bedworth147
",https://www.speakev.com/members/bedworth147.105572/,1 Posts ,4 mo ago,4 mo ago
14,"
Yerman
",https://www.speakev.com/members/yerman.104421/,27 Posts ,4 mo ago,4 mo ago
15,"
Yerman
",https://www.speakev.com/members/yerman.104421/,27 Posts ,4 mo ago,4 mo ago
16,"
Yerman
",https://www.speakev.com/members/yerman.104421/,27 Posts ,4 mo ago,4 mo ago
17,"
Cinquecento
",https://www.speakev.com/members/cinquecento.98020/,21 Posts ,4 mo ago,10 mo ago
0,"
bighardyfamily
",https://www.speakev.com/members/bighardyfamily.101999/,3 Posts ,6 mo ago,6 mo ago
1,"
LaserTam
",https://www.speakev.com/members/lasertam.98903/,45 Posts ,6 mo ago,9 mo ago
2,"
bighardyfamily
",https://www.speakev.com/members/bighardyfamily.101999/,3 Posts ,6 mo ago,6 mo ago
3,"
LaserTam
",https://www.speakev.com/members/lasertam.98903/,45 Posts ,6 mo ago,9 mo ago
4,"
Cinquecento
",https://www.speakev.com/members/cinquecento.98020/,21 Posts ,6 mo ago,10 mo ago
5,"
Bobbybarlow
",https://www.speakev.com/members/bobbybarlow.98043/,4 Posts ,6 mo ago,10 mo ago
6,"
LaserTam
",https://www.speakev.com/members/lasertam.98903/,45 Posts ,6 mo ago,9 mo ago
7,"
Cinquecento
",https://www.speakev.com/members/cinquecento.98020/,21 Posts ,6 mo ago,10 mo ago
8,"
Sofiak
",https://www.speakev.com/members/sofiak.104236/,4 Posts ,5 mo ago,5 mo ago
9,"
LaserTam
",https://www.speakev.com/members/lasertam.98903/,45 Posts ,5 mo ago,9 mo ago
10,"
Sofiak
",https://www.speakev.com/members/sofiak.104236/,4 Posts ,5 mo ago,5 mo ago
11,"
Cinquecento
",https://www.speakev.com/members/cinquecento.98020/,21 Posts ,4 mo ago,10 mo ago
12,"
Yerman
",https://www.speakev.com/members/yerman.104421/,27 Posts ,4 mo ago,4 mo ago
13,"
Bedworth147
",https://www.speakev.com/members/bedworth147.105572/,1 Posts ,4 mo ago,4 mo ago
14,"
Yerman
",https://www.speakev.com/members/yerman.104421/,27 Posts ,4 mo ago,4 mo ago
15,"
Yerman
",https://www.speakev.com/members/yerman.104421/,27 Posts ,4 mo ago,4 mo ago
16,"
Yerman
",https://www.speakev.com/members/yerman.104421/,27 Posts ,4 mo ago,4 mo ago
17,"
Cinquecento
",https://www.speakev.com/members/cinquecento.98020/,21 Posts ,4 mo ago,10 mo ago
0,"
Wastedspacer
",https://www.speakev.com/members/wastedspacer.93109/,15 Posts ,"Nov 19, 2020","Nov 19, 2020"
1,"
freddym
",https://www.speakev.com/members/freddym.41433/,"8,707 Posts ","Nov 19, 2020","Oct 14, 2017"
2,"
Hairy Leafer
",https://www.speakev.com/members/hairy-leafer.1937/,"1,227 Posts ","Nov 19, 2020","Feb 26, 2015"
3,"
cah197
",https://www.speakev.com/members/cah197.2505/,"26,262 Posts ","Nov 19, 2020","May 12, 2015"
4,"
Kiltox
",https://www.speakev.com/members/kiltox.91640/,390 Posts ,"Nov 19, 2020","Sep 12, 2020"
5,"
Biffa
",https://www.speakev.com/members/biffa.5634/,"3,033 Posts ","Nov 19, 2020","Apr 10, 2016"
6,"
Gt6k
",https://www.speakev.com/members/gt6k.85303/,320 Posts ,"Nov 19, 2020","Dec 22, 2019"
7,"
Kiltox
",https://www.speakev.com/members/kiltox.91640/,390 Posts ,"Nov 19, 2020","Sep 12, 2020"
8,"
Biffa
",https://www.speakev.com/members/biffa.5634/,"3,033 Posts ","Nov 19, 2020","Apr 10, 2016"
